"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006937","BP","GO:0006937","regulation of muscle contraction","8/75","55/2737",9.41259577373752e-05,0.00260415149740071,0.00242274081694948,"CASQ2/ATP2A2/MYL2/TNNC1/MYL3/TNNT1/TNNI1/MYH7",8
"GO:0010257","BP","GO:0010257","NADH dehydrogenase complex assembly","7/75","44/2737",0.000148672572768839,0.00375559846863893,0.00349397556598622,"NDUFS1/NDUFA8/NDUFB8/NDUFS2/NDUFS3/NDUFA10/NDUFA6",7
"GO:0032981","BP","GO:0032981","mitochondrial respiratory chain complex I assembly","7/75","44/2737",0.000148672572768839,0.00375559846863893,0.00349397556598622,"NDUFS1/NDUFA8/NDUFB8/NDUFS2/NDUFS3/NDUFA10/NDUFA6",7
"GO:0046034","BP","GO:0046034","ATP metabolic process","12/75","134/2737",0.000213195099125477,0.00505576949354702,0.00470357393774146,"NDUFS1/MYH7/NDUFA7/NDUFV1/NDUFA8/NDUFB8/NDUFS2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/NDUFA4",12
"GO:0001659","BP","GO:0001659","temperature homeostasis","6/75","37/2737",0.000409640676890866,0.00881486049161457,0.00820079873619726,"ACADVL/DECR1/ALDH1A1/ACSL1/CPT2/HADH",6
"GO:0061061","BP","GO:0061061","muscle structure development","13/75","172/2737",0.00061669582680644,0.012571939486826,0.0116961516921554,"ATP2A2/MYL2/TNNC1/MYL3/TNNT1/TNNI1/MYL6B/MYOZ2/MYH7/EHD2/SOD2/SMYD1/PGM5",13
"GO:0002026","BP","GO:0002026","regulation of the force of heart contraction","4/75","16/2737",0.000737537767253057,0.013822885250775,0.0128599539383513,"ATP2A2/MYL2/MYL3/MYH7",4
"GO:0015909","BP","GO:0015909","long-chain fatty acid transport","4/75","16/2737",0.000737537767253057,0.013822885250775,0.0128599539383513,"FABP3/CPT1B/ACSL1/CPT2",4
"GO:0006575","BP","GO:0006575","cellular modified amino acid metabolic process","7/75","58/2737",0.000857683865946484,0.0155723226910909,0.0144875218803789,"CKB/CRAT/CKMT2/CPT1B/ALDH4A1/SOD2/CPT2",7
"GO:1990542","BP","GO:1990542","mitochondrial transmembrane transport","5/75","32/2737",0.00152574028458125,0.0260722089806384,0.0242559639669496,"CPT1B/HSPD1/MCU/CPT2/LETM1",5
"GO:0060537","BP","GO:0060537","muscle tissue development","9/75","102/2737",0.0015726647884333,0.0264845867269492,0.0246396146105415,"MYL2/TNNC1/MYL3/TNNI1/MYL6B/MYOZ2/MYH7/SMYD1/PGM5",9
"GO:0007005","BP","GO:0007005","mitochondrion organization","14/75","218/2737",0.00189821504933031,0.0315103698188831,0.0293152910625898,"ACAA2/NDUFS1/HSPD1/MCU/NDUFA8/NDUFB8/NDUFS2/SOD2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/LETM1/HSPA9",14
"GO:1990845","BP","GO:1990845","adaptive thermogenesis","5/75","34/2737",0.00202003167511385,0.0330602367110182,0.0307571909613332,"DECR1/ALDH1A1/ACSL1/CPT2/HADH",5
"GO:0032365","BP","GO:0032365","intracellular lipid transport","3/75","10/2737",0.00206537370412546,0.0333328367249137,0.0310108010838721,"FABP3/CPT1B/CPT2",3
"GO:0005759","CC","GO:0005759","mitochondrial matrix","32/76","248/2794",2.67430509614375e-15,4.51957561248294e-13,3.51882249492599e-13,"IDH2/HADHB/ETFB/ETFA/ACAT1/ACADVL/HADHA/ACADS/ALDH5A1/ACAA2/NDUFS1/TUFM/ALDH2/ME2/ETFDH/DECR1/ACADSB/NDUFA7/LRPPRC/HSPD1/NDUFB8/MDH2/ALDH4A1/NDUFS2/AK3/SOD2/SUCLG2/ECHS1/NDUFS3/NDUFA10/HADH/HSPA9",32
"GO:0019866","CC","GO:0019866","organelle inner membrane","25/76","245/2794",1.56342798989014e-09,1.31823027388809e-07,1.02633935992532e-07,"HADHB/LDHB/CRAT/ACADVL/HADHA/CKMT2/NDUFS1/ETFDH/NDUFA7/LRPPRC/HSPD1/NNT/NDUFV1/MCU/NDUFA8/NDUFB8/NDUFS2/NDUFS3/UQCRFS1/CPT2/NDUFA10/NDUFA6/LETM1/HSPA9/NDUFA4",25
"GO:0005743","CC","GO:0005743","mitochondrial inner membrane","24/76","230/2794",2.34005374062974e-09,1.31823027388809e-07,1.02633935992532e-07,"HADHB/LDHB/CRAT/ACADVL/HADHA/CKMT2/NDUFS1/ETFDH/NDUFA7/HSPD1/NNT/NDUFV1/MCU/NDUFA8/NDUFB8/NDUFS2/NDUFS3/UQCRFS1/CPT2/NDUFA10/NDUFA6/LETM1/HSPA9/NDUFA4",24
"GO:1990204","CC","GO:1990204","oxidoreductase complex","15/76","86/2794",3.8381626590597e-09,1.62162372345272e-07,1.26255350626964e-07,"LDHB/ETFB/ETFA/NDUFS1/GPD1L/NDUFA7/NDUFV1/NDUFA8/NDUFB8/NDUFS2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/NDUFA4",15
"GO:0030964","CC","GO:0030964","NADH dehydrogenase complex","10/76","38/2794",3.11504500738574e-08,6.55645535130759e-07,5.10468339404204e-07,"NDUFS1/NDUFA7/NDUFV1/NDUFA8/NDUFB8/NDUFS2/NDUFS3/NDUFA10/NDUFA6/NDUFA4",10
"GO:0045271","CC","GO:0045271","respiratory chain complex I","10/76","38/2794",3.11504500738574e-08,6.55645535130759e-07,5.10468339404204e-07,"NDUFS1/NDUFA7/NDUFV1/NDUFA8/NDUFB8/NDUFS2/NDUFS3/NDUFA10/NDUFA6/NDUFA4",10
"GO:1902495","CC","GO:1902495","transmembrane transporter complex","13/76","79/2794",9.93360617128355e-08,1.52616312995174e-06,1.18823040326358e-06,"CASQ2/NDUFS1/NDUFA7/NDUFV1/MCU/NDUFA8/NDUFB8/NDUFS2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/NDUFA4",13
"GO:0070469","CC","GO:0070469","respirasome","12/76","67/2794",1.23038607455304e-07,1.73279372166219e-06,1.3491075378871e-06,"NDUFS1/NDUFA7/NNT/NDUFV1/NDUFA8/NDUFB8/NDUFS2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/NDUFA4",12
"GO:1990351","CC","GO:1990351","transporter complex","13/76","84/2794",2.11454612366843e-07,2.74890996076896e-06,2.14022887010975e-06,"CASQ2/NDUFS1/NDUFA7/NDUFV1/MCU/NDUFA8/NDUFB8/NDUFS2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/NDUFA4",13
"GO:0031975","CC","GO:0031975","envelope","28/76","438/2794",4.09183633993821e-06,4.06776671440916e-05,3.16705599066425e-05,"HADHB/LDHB/CRAT/ACADVL/HADHA/CKMT2/CPT1B/NDUFS1/MAOB/ETFDH/NDUFA7/LRPPRC/HSPD1/NNT/NDUFV1/MCU/NDUFA8/NDUFB8/NDUFS2/ACSL1/NDUFS3/UQCRFS1/CPT2/NDUFA10/NDUFA6/LETM1/HSPA9/NDUFA4",28
"GO:0009295","CC","GO:0009295","nucleoid","7/76","29/2794",8.05356982843251e-06,6.97211909088996e-05,5.42830823021641e-05,"HADHB/ACADVL/HADHA/TUFM/LRPPRC/SOD2/HSPA9",7
"GO:0098798","CC","GO:0098798","mitochondrial protein-containing complex","16/76","171/2794",8.25102850992894e-06,6.97211909088996e-05,5.42830823021641e-05,"HADHB/HADHA/NDUFS1/NDUFA7/NDUFV1/MCU/NDUFA8/NDUFB8/NDUFS2/SUCLG2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/HSPA9/NDUFA4",16
"GO:0043292","CC","GO:0043292","contractile fiber","14/76","163/2794",8.72388783031494e-05,0.000702065258725345,0.000546609513177628,"CASQ2/MYL2/TNNC1/MYL3/TPM3/MYOT/TNNT1/TNNI1/MYL6B/MYOZ2/MYH7/MYOM3/LRRC39/PGM5",14
"GO:0016021","CC","GO:0016021","integral component of membrane","23/76","438/2794",0.000879570930201485,0.00594589948816204,0.00462932068527098,"CASQ2/ATP2A2/CPT1B/NDUFS1/MAOB/ETFDH/NDUFA7/CYB5R1/HSPD1/NNT/NDUFV1/MCU/NDUFA8/NDUFB8/NDUFS2/ACSL1/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/LETM1/HSPA9/NDUFA4",23
"GO:0005777","CC","GO:0005777","peroxisome","6/76","46/2794",0.00130911151962667,0.00790142310060384,0.0061518398478697,"IDH2/CRAT/HSDL2/ECI2/IDI2/ACSL1",6
"GO:0042579","CC","GO:0042579","microbody","6/76","46/2794",0.00130911151962667,0.00790142310060384,0.0061518398478697,"IDH2/CRAT/HSDL2/ECI2/IDI2/ACSL1",6
"GO:0015629","CC","GO:0015629","actin cytoskeleton","12/76","204/2794",0.00794605442056152,0.0406934302143908,0.0316828326178689,"MYL2/TNNC1/MYL3/TPM3/MYOT/TNNT1/TNNI1/MYL6B/MYOZ2/DPYSL3/MYH7/PGM5",12
"GO:0016491","MF","GO:0016491","oxidoreductase activity","36/75","285/2777",2.75688419315616e-17,4.90725386381796e-15,3.85963787041862e-15,"IDH2/HADHB/LDHB/ETFB/MDH1/ETFA/CRAT/HSDL2/ACADVL/HADHA/ACADS/ALDH5A1/NDUFS1/MAOB/ALDH2/ME2/ETFDH/DECR1/ACADSB/NDUFA7/CYB5R1/NNT/NDUFV1/NDUFA8/NDUFB8/MDH2/ALDH1A1/ALDH4A1/NDUFS2/SOD2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/HADH/NDUFA4",36
"GO:0051287","MF","GO:0051287","NAD binding","10/75","32/2777",4.4941010481006e-09,2.38280736315026e-07,1.87411815079234e-07,"IDH2/HADHA/GPD1L/ALDH2/ME2/NNT/NDUFV1/ALDH1A1/NDUFS2/HADH",10
"GO:0008137","MF","GO:0008137","NADH dehydrogenase (ubiquinone) activity","10/75","35/2777",1.19841463916595e-08,3.55529676285898e-07,2.79630082472055e-07,"NDUFS1/NDUFA7/NDUFV1/NDUFA8/NDUFB8/NDUFS2/NDUFS3/NDUFA10/NDUFA6/NDUFA4",10
"GO:0050136","MF","GO:0050136","NADH dehydrogenase (quinone) activity","10/75","35/2777",1.19841463916595e-08,3.55529676285898e-07,2.79630082472055e-07,"NDUFS1/NDUFA7/NDUFV1/NDUFA8/NDUFB8/NDUFS2/NDUFS3/NDUFA10/NDUFA6/NDUFA4",10
"GO:0022804","MF","GO:0022804","active transmembrane transporter activity","14/75","84/2777",2.27296864605608e-08,4.49542687775536e-07,3.53572900497612e-07,"ATP2A2/NDUFS1/NDUFA7/NDUFV1/MCU/NDUFA8/NDUFB8/NDUFS2/NDUFS3/UQCRFS1/NDUFA10/NDUFA6/LETM1/NDUFA4",14
"GO:0016747","MF","GO:0016747","acyltransferase activity, transferring groups other than amino-acyl groups","7/75","31/2777",1.23616166093758e-05,0.000146691183764593,0.000115375088354174,"HADHB/ACAT1/CRAT/HADHA/CPT1B/ACAA2/CPT2",7
"GO:0050660","MF","GO:0050660","flavin adenine dinucleotide binding","7/75","31/2777",1.23616166093758e-05,0.000146691183764593,0.000115375088354174,"ETFA/ACADVL/ACADS/MAOB/ETFDH/ACADSB/CYB5R1",7
"GO:0051539","MF","GO:0051539","4 iron, 4 sulfur cluster binding","4/75","17/2777",0.000894815526601438,0.00666694665034052,0.00524366590476221,"NDUFS1/ETFDH/NDUFV1/NDUFS2",4
"GO:0051536","MF","GO:0051536","iron-sulfur cluster binding","5/75","29/2777",0.000898914155102093,0.00666694665034052,0.00524366590476221,"NDUFS1/ETFDH/NDUFV1/NDUFS2/UQCRFS1",5
"GO:0051540","MF","GO:0051540","metal cluster binding","5/75","29/2777",0.000898914155102093,0.00666694665034052,0.00524366590476221,"NDUFS1/ETFDH/NDUFV1/NDUFS2/UQCRFS1",5
"GO:0000062","MF","GO:0000062","fatty-acyl-CoA binding","3/75","10/2777",0.00198137149395513,0.0130623750342227,0.0102737781168044,"ACADVL/HADHA/ECI2",3
"GO:0120227","MF","GO:0120227","acyl-CoA binding","3/75","10/2777",0.00198137149395513,0.0130623750342227,0.0102737781168044,"ACADVL/HADHA/ECI2",3
"GO:1901567","MF","GO:1901567","fatty acid derivative binding","3/75","10/2777",0.00198137149395513,0.0130623750342227,0.0102737781168044,"ACADVL/HADHA/ECI2",3
"GO:0004029","MF","GO:0004029","aldehyde dehydrogenase (NAD+) activity","3/75","11/2777",0.0026717449850413,0.0163989864599087,0.0128980792381304,"ALDH2/ALDH1A1/ALDH4A1",3
"GO:0004030","MF","GO:0004030","aldehyde dehydrogenase [NAD(P)+] activity","3/75","11/2777",0.0026717449850413,0.0163989864599087,0.0128980792381304,"ALDH2/ALDH1A1/ALDH4A1",3
