MYH1,MYH2,MYH7,TPM3,TPM1,ATP2A2,ATP2A1,TNNT1,TNNT3,MYL2,MYL1,MYL3,sum_MYH,MYH7_fraction,order_MYH7,MYH2_fraction,order_MYH2,MYH1_fraction,order_MYH1,sum_MYH_slowfast,MYH7_fraction_slowfast,order_MYH7_slowfast,MYH2_fraction_slowfast,order_MYH2_slowfast,sum_TNNT,TNNT1_fraction,order_TNNT1,TNNT3_fraction,order_TNNT3,sum_TPM,TPM1_fraction,order_TPM1,TPM3_fraction,order_TPM3,sum_ATP2A,ATP2A1_fraction,order_ATP2A1,ATP2A2_fraction,order_ATP2A2,sum_MYL,MYL1_fraction,order_MYL1,MYL3_fraction,order_MYL3,fiber_type_MYH,fiber_type_MYH_slowfast,fiber_type_TPM_slowfast,fiber_type_TNNT_slowfast,fiber_type_ATP2A_slowfast,fiber_type_MYL_slowfast,fiber_type_combined,fiber_type_MYH_hybrids,Sample,subject,fiber
8,21,917,105,16,62,14,412,45,504,46,204,946,96.93446088794926,95,2.2198731501057085,836,0.8456659619450317,640,938,97.76119402985076,78,2.2388059701492535,848,457,90.15317286652079,328,9.846827133479213,598,121,13.223140495867769,617,86.77685950413223,309,76,18.421052631578945,647,81.57894736842105,280,250,18.4,915,81.6,11,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,8_93,8,93
4,33,629,216,15,106,13,567,10,459,53,232,666,94.44444444444444,205,4.954954954954955,661,0.6006006006006006,724,662,95.01510574018127,223,4.984894259818732,703,577,98.26689774696708,140,1.733102253032929,786,231,6.493506493506493,691,93.5064935064935,235,119,10.92436974789916,701,89.07563025210085,225,285,18.596491228070175,914,81.40350877192982,12,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,8_84,8,84
5,16,552,213,12,121,3,421,12,849,32,135,573,96.33507853403141,127,2.7923211169284468,787,0.8726003490401396,634,568,97.1830985915493,120,2.8169014084507045,806,433,97.22863741339492,199,2.771362586605081,727,225,5.333333333333334,712,94.66666666666667,214,124,2.4193548387096775,848,97.58064516129032,78,167,19.16167664670659,913,80.83832335329342,13,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,12_162,12,162
17,57,485,79,2,132,7,372,24,573,36,147,559,86.76207513416816,313,10.196779964221825,555,3.041144901610018,324,542,89.48339483394834,308,10.516605166051662,618,396,93.93939393939394,303,6.0606060606060606,623,81,2.4691358024691357,824,97.53086419753086,102,139,5.0359712230215825,788,94.96402877697841,136,183,19.672131147540984,912,80.32786885245902,14,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_79,13,79
20,89,483,83,25,50,31,554,39,348,27,108,592,81.58783783783784,330,15.033783783783782,519,3.3783783783783785,314,572,84.44055944055944,331,15.55944055944056,595,593,93.42327150084317,312,6.57672849915683,614,108,23.14814814814815,591,76.85185185185185,335,81,38.2716049382716,596,61.72839506172839,330,135,20,911,80,15,Hybrid 1/2A,Hybrid,Hybrid,Slow,Hybrid,Slow,Hybrid,Hybrid 1/2A,6_153,6,153
9,24,847,244,9,113,5,504,6,455,32,126,880,96.25,131,2.727272727272727,789,1.0227272727272727,590,871,97.24454649827784,117,2.755453501722158,809,510,98.82352941176471,80,1.1764705882352942,846,253,3.557312252964427,777,96.44268774703558,149,118,4.23728813559322,806,95.76271186440678,121,158,20.253164556962027,910,79.74683544303798,16,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_151,13,151
11,31,786,192,15,108,8,512,11,415,41,161,828,94.92753623188406,179,3.7439613526570046,724,1.328502415458937,517,817,96.20563035495717,174,3.7943696450428397,752,523,97.89674952198853,163,2.1032504780114722,763,207,7.246376811594203,674,92.7536231884058,253,116,6.896551724137931,756,93.10344827586206,170,202,20.2970297029703,909,79.70297029702971,17,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_168,13,168
5,53,480,174,20,97,24,343,17,550,53,205,538,89.21933085501858,297,9.851301115241636,557,0.929368029739777,617,533,90.0562851782364,305,9.943714821763603,621,360,95.27777777777777,278,4.722222222222222,648,194,10.309278350515463,636,89.69072164948454,290,121,19.834710743801654,638,80.16528925619835,288,258,20.54263565891473,908,79.45736434108527,18,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,6_100,6,100
0,3,666,164,2,120,2,513,0,451,40,154,669,99.55156950672645,5,0.4484304932735426,920,0,921,669,99.55156950672645,6,0.4484304932735426,920,513,100,1,0,924,166,1.2048192771084338,898,98.79518072289156,28,122,1.639344262295082,882,98.36065573770492,43,194,20.618556701030926,907,79.38144329896907,19,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,4_155,4,155
25,69,480,65,43,111,30,413,28,423,46,176,574,83.62369337979094,324,12.020905923344948,541,4.355400696864112,290,549,87.43169398907104,321,12.568306010928962,605,441,93.65079365079364,309,6.349206349206349,617,108,39.81481481481482,575,60.18518518518518,351,141,21.27659574468085,634,78.72340425531915,293,222,20.72072072072072,906,79.27927927927928,20,Type 1,Slow,Hybrid,Slow,Slow,Slow,Hybrid,Type 1,3_79,3,79
1,21,549,193,3,137,3,451,3,497,69,263,571,96.14711033274956,136,3.677758318739054,727,0.17513134851138354,868,570,96.3157894736842,164,3.684210526315789,762,454,99.33920704845815,27,0.6607929515418502,899,196,1.530612244897959,874,98.46938775510205,52,140,2.142857142857143,861,97.85714285714285,65,332,20.783132530120483,905,79.21686746987952,21,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,7_20,7,20
8,71,498,143,2,57,14,371,17,390,46,175,577,86.30849220103987,316,12.305025996533796,536,1.386481802426343,499,569,87.5219683655536,320,12.478031634446397,606,388,95.61855670103093,269,4.381443298969072,657,145,1.3793103448275863,888,98.62068965517241,38,71,19.718309859154928,639,80.28169014084507,287,221,20.81447963800905,904,79.18552036199095,22,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,8_100,8,100
4,32,480,102,10,119,3,459,28,454,43,159,516,93.02325581395348,247,6.2015503875969,613,0.7751937984496124,657,512,93.75,260,6.25,667,487,94.25051334702259,296,5.749486652977413,630,112,8.928571428571429,653,91.07142857142857,273,122,2.459016393442623,847,97.54098360655738,79,202,21.287128712871286,903,78.71287128712872,23,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,8_153,8,153
1,30,577,247,6,163,3,321,5,858,72,263,608,94.90131578947368,184,4.934210526315789,663,0.1644736842105263,870,607,95.05766062602964,222,4.942339373970346,704,326,98.46625766871165,124,1.5337423312883436,802,253,2.371541501976284,830,97.62845849802372,96,166,1.8072289156626504,875,98.19277108433735,51,335,21.492537313432834,902,78.50746268656717,24,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,12_89,12,89
22,34,773,153,13,120,10,493,13,583,45,162,829,93.24487334137515,244,4.101326899879373,700,2.6537997587454765,346,807,95.78686493184635,194,4.2131350681536555,732,506,97.4308300395257,187,2.5691699604743086,739,166,7.83132530120482,667,92.16867469879519,259,130,7.6923076923076925,746,92.3076923076923,181,207,21.73913043478261,901,78.26086956521739,25,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_1,13,1
3,12,645,271,2,129,2,358,4,612,52,184,660,97.72727272727273,53,1.8181818181818181,858,0.45454545454545453,775,657,98.17351598173516,63,1.82648401826484,863,362,98.89502762430939,70,1.1049723756906076,855,273,0.7326007326007326,915,99.26739926739927,11,131,1.5267175572519083,889,98.47328244274809,37,236,22.033898305084744,900,77.96610169491525,26,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,4_162,4,162
0,17,520,213,4,152,5,374,6,630,57,199,537,96.8342644320298,98,3.165735567970205,765,0,892,537,96.8342644320298,137,3.165735567970205,789,380,98.42105263157895,126,1.5789473684210527,800,217,1.8433179723502304,855,98.15668202764977,71,157,3.1847133757961785,830,96.81528662420382,96,256,22.265625,899,77.734375,27,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,4_18,4,18
0,0,697,148,0,144,4,565,1,275,48,164,697,100,1,0,925,0,925,697,100,1,0,925,566,99.82332155477032,6,0.17667844522968199,920,148,0,925,100,4,148,2.7027027027027026,839,97.2972972972973,86,212,22.641509433962266,898,77.35849056603774,28,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,5_14,5,14
10,21,542,142,9,74,7,300,10,376,47,157,573,94.58987783595113,200,3.664921465968586,729,1.7452006980802792,428,563,96.26998223801066,168,3.7300177619893424,758,310,96.7741935483871,229,3.225806451612903,697,151,5.960264900662252,699,94.03973509933775,227,81,8.641975308641975,730,91.35802469135803,196,204,23.03921568627451,897,76.9607843137255,29,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,4_174,4,174
13,121,468,49,11,47,44,280,55,323,51,170,602,77.74086378737542,334,20.09966777408638,504,2.1594684385382057,381,589,79.45670628183362,338,20.54329371816638,588,335,83.5820895522388,346,16.417910447761194,580,60,18.333333333333332,598,81.66666666666667,328,91,48.35164835164835,584,51.64835164835166,342,221,23.076923076923077,896,76.92307692307693,30,Hybrid 1/2A,Hybrid,Hybrid,Hybrid,Hybrid,Slow,Hybrid,Hybrid 1/2A,7_11,7,11
14,59,643,183,33,132,14,402,13,448,39,129,716,89.80446927374301,291,8.240223463687151,580,1.9553072625698324,402,702,91.5954415954416,290,8.404558404558404,636,415,96.86746987951807,224,3.132530120481928,702,216,15.277777777777779,608,84.72222222222221,318,146,9.58904109589041,715,90.41095890410958,211,168,23.214285714285715,895,76.78571428571429,31,Type 1,Slow,Hybrid,Slow,Slow,Slow,Hybrid,Type 1,8_157,8,157
3,10,557,221,4,148,3,412,6,598,67,220,570,97.71929824561404,54,1.7543859649122806,865,0.5263157894736842,753,567,98.2363315696649,58,1.763668430335097,868,418,98.56459330143541,115,1.4354066985645932,811,225,1.7777777777777777,860,98.22222222222223,65,151,1.9867549668874174,870,98.01324503311258,56,287,23.34494773519164,894,76.65505226480836,32,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,4_167,4,167
8,17,663,245,3,129,10,557,8,715,46,149,688,96.36627906976744,124,2.4709302325581395,815,1.1627906976744187,552,680,97.5,97,2.5,829,565,98.58407079646018,112,1.415929203539823,814,248,1.2096774193548387,897,98.79032258064517,29,139,7.1942446043165464,754,92.80575539568345,172,195,23.589743589743588,893,76.41025641025641,33,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,2_87,2,87
2,22,702,237,5,184,5,376,5,792,59,189,726,96.69421487603306,108,3.0303030303030303,773,0.27548209366391185,839,724,96.96132596685084,131,3.0386740331491713,795,381,98.68766404199475,102,1.3123359580052494,825,242,2.066115702479339,844,97.93388429752066,82,189,2.6455026455026456,843,97.35449735449735,83,248,23.790322580645164,892,76.20967741935483,34,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,12_23,12,23
3,16,401,180,4,172,1,460,3,445,51,163,420,95.47619047619048,163,3.8095238095238098,718,0.7142857142857143,682,417,96.1630695443645,176,3.8369304556354913,750,463,99.35205183585313,23,0.6479481641468683,903,184,2.1739130434782608,838,97.82608695652173,88,173,0.5780346820809248,919,99.42196531791907,7,214,23.83177570093458,891,76.16822429906543,35,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,7_174,7,174
11,25,639,149,5,146,4,450,4,508,52,166,675,94.66666666666667,195,3.7037037037037033,726,1.6296296296296295,454,664,96.23493975903614,170,3.7650602409638556,756,454,99.11894273127754,44,0.881057268722467,882,154,3.2467532467532463,790,96.75324675324676,136,150,2.666666666666667,842,97.33333333333334,84,218,23.853211009174313,890,76.14678899082568,36,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_80,13,80
0,3,787,208,5,203,16,965,1,298,57,180,790,99.62025316455696,4,0.37974683544303794,921,0,922,790,99.62025316455696,5,0.37974683544303794,921,966,99.89648033126294,3,0.10351966873706005,923,213,2.3474178403755865,831,97.65258215962442,95,219,7.30593607305936,753,92.69406392694064,173,237,24.050632911392405,889,75.9493670886076,37,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,1_92,1,92
9,7,624,125,5,71,7,390,12,586,74,231,640,97.5,65,1.09375,899,1.40625,494,631,98.8906497622821,24,1.109350237717908,902,402,97.01492537313433,215,2.9850746268656714,711,130,3.8461538461538463,760,96.15384615384616,166,78,8.974358974358974,725,91.02564102564102,201,305,24.262295081967213,888,75.73770491803279,38,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,12_12,12,12
9,23,594,249,4,179,6,437,13,883,65,202,626,94.88817891373802,187,3.6741214057507987,728,1.4376996805111821,484,617,96.27228525121556,167,3.727714748784441,759,450,97.11111111111111,209,2.888888888888889,717,253,1.5810276679841897,872,98.41897233201581,54,185,3.2432432432432434,828,96.75675675675676,98,267,24.344569288389515,887,75.65543071161048,39,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,2_92,2,92
0,14,558,221,5,203,4,370,4,897,86,261,572,97.55244755244755,60,2.4475524475524475,817,0,900,572,97.55244755244755,93,2.4475524475524475,833,374,98.93048128342245,66,1.06951871657754,860,226,2.2123893805309733,837,97.78761061946902,89,207,1.932367149758454,871,98.06763285024155,55,347,24.78386167146974,886,75.21613832853026,40,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,12_98,12,98
3,20,602,218,4,136,6,403,6,415,57,172,625,96.32,128,3.2,760,0.48,768,622,96.78456591639872,140,3.215434083601286,786,409,98.53300733496333,117,1.466992665036675,809,222,1.8018018018018018,859,98.1981981981982,67,142,4.225352112676056,807,95.77464788732394,119,229,24.890829694323145,885,75.10917030567686,41,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,8_175,8,175
8,48,538,168,12,114,9,541,9,482,50,150,594,90.57239057239057,278,8.080808080808081,583,1.3468013468013467,511,586,91.80887372013652,286,8.19112627986348,640,550,98.36363636363636,132,1.6363636363636365,794,180,6.666666666666667,687,93.33333333333333,239,123,7.317073170731707,752,92.6829268292683,174,200,25,884,75,42,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,10_169,10,169
8,24,742,171,5,110,15,523,7,515,60,179,774,95.8656330749354,147,3.10077519379845,769,1.03359173126615,586,766,96.8668407310705,134,3.1331592689295036,792,530,98.67924528301887,103,1.3207547169811322,823,176,2.840909090909091,808,97.1590909090909,118,125,12,690,88,236,239,25.10460251046025,883,74.89539748953975,43,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_21,13,21
16,55,687,151,16,103,16,664,22,446,78,232,758,90.63324538258574,277,7.255936675461741,594,2.1108179419525066,384,742,92.58760107816711,277,7.412398921832884,649,686,96.7930029154519,227,3.206997084548105,699,167,9.580838323353294,643,90.41916167664671,283,119,13.445378151260504,677,86.5546218487395,249,310,25.161290322580644,882,74.83870967741936,44,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,6_17,6,17
2,745,378,72,41,27,335,444,429,285,21,61,1125,33.6,353,66.22222222222223,410,0.17777777777777778,865,1123,33.659839715048975,367,66.34016028495103,559,873,50.85910652920962,358,49.140893470790374,568,113,36.283185840707965,580,63.716814159292035,346,362,92.5414364640884,532,7.458563535911603,394,82,25.609756097560975,881,74.39024390243902,45,Hybrid 1/2A,Hybrid,Hybrid,Hybrid,Fast,Slow,Hybrid,Hybrid 1/2A,4_19,4,19
12,27,585,214,10,110,7,393,14,666,56,157,624,93.75,231,4.326923076923077,691,1.9230769230769231,405,612,95.58823529411765,202,4.411764705882353,724,407,96.56019656019656,241,3.43980343980344,686,224,4.464285714285714,734,95.53571428571429,192,117,5.982905982905983,771,94.01709401709401,156,213,26.291079812206576,880,73.70892018779342,46,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,14_80,14,80
1,22,478,198,4,243,10,400,7,558,93,259,501,95.40918163672654,166,4.39121756487026,686,0.19960079840319359,859,500,95.6,200,4.3999999999999995,726,407,98.28009828009829,138,1.71990171990172,788,202,1.9801980198019802,849,98.01980198019803,77,253,3.9525691699604746,815,96.04743083003953,111,352,26.420454545454547,879,73.57954545454545,47,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,9_6,9,6
8,75,492,138,15,110,23,410,21,353,66,181,575,85.56521739130434,320,13.043478260869565,531,1.391304347826087,498,567,86.77248677248677,325,13.227513227513226,601,431,95.1276102088167,279,4.872389791183294,647,153,9.803921568627452,642,90.19607843137256,284,133,17.293233082706767,651,82.70676691729322,275,247,26.720647773279353,878,73.27935222672065,48,Hybrid 1/2A,Hybrid,Slow,Slow,Slow,Slow,Hybrid,Hybrid 1/2A,9_24,9,24
5,31,661,178,7,132,7,462,12,589,71,193,697,94.83500717360116,190,4.447632711621234,685,0.7173601147776184,679,692,95.52023121387283,203,4.479768786127168,723,474,97.46835443037975,184,2.5316455696202533,742,185,3.783783783783784,763,96.21621621621622,162,139,5.0359712230215825,789,94.96402877697841,137,264,26.89393939393939,877,73.10606060606061,49,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,6_10,6,10
2,20,664,195,4,113,2,518,8,372,88,236,686,96.7930029154519,102,2.9154518950437316,779,0.2915451895043732,833,684,97.07602339181285,125,2.923976608187134,801,526,98.47908745247148,123,1.520912547528517,803,199,2.0100502512562812,847,97.98994974874373,78,115,1.7391304347826086,878,98.26086956521739,48,324,27.160493827160494,876,72.8395061728395,50,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,9_23,9,23
12,62,769,135,4,55,11,362,27,526,62,164,843,91.22182680901541,269,7.354685646500593,592,1.4234875444839856,488,831,92.53910950661853,279,7.460890493381468,647,389,93.05912596401028,315,6.940874035989718,611,139,2.877697841726619,806,97.12230215827337,120,66,16.666666666666664,656,83.33333333333334,269,226,27.43362831858407,875,72.56637168141593,51,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,8_88,8,88
2,11,458,173,4,166,2,352,3,428,78,204,471,97.23991507430998,82,2.335456475583864,829,0.42462845010615713,790,469,97.6545842217484,84,2.345415778251599,842,355,99.15492957746478,41,0.8450704225352111,884,177,2.2598870056497176,834,97.74011299435028,92,168,1.1904761904761905,901,98.80952380952381,25,282,27.659574468085108,874,72.3404255319149,52,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,7_4,7,4
4,59,544,135,10,97,11,557,16,391,70,183,607,89.62108731466228,292,9.71993410214168,560,0.6589785831960462,701,603,90.21558872305141,303,9.78441127694859,623,573,97.20767888307155,202,2.7923211169284468,724,145,6.896551724137931,683,93.10344827586206,242,108,10.185185185185185,708,89.81481481481481,218,253,27.66798418972332,873,72.33201581027669,53,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,11_95,11,95
6,25,472,138,7,127,8,403,7,428,97,246,503,93.83697813121272,227,4.970178926441352,660,1.1928429423459244,545,497,94.96981891348088,227,5.030181086519115,699,410,98.29268292682927,136,1.707317073170732,790,145,4.827586206896552,729,95.17241379310344,197,135,5.9259259259259265,774,94.07407407407408,152,343,28.279883381924197,872,71.7201166180758,54,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,8_4,8,4
9,8,789,110,5,69,3,484,2,239,40,101,806,97.89081885856079,50,0.9925558312655087,901,1.1166253101736971,564,797,98.99623588456713,21,1.0037641154328731,905,486,99.58847736625515,10,0.411522633744856,916,115,4.3478260869565215,738,95.65217391304348,189,72,4.166666666666666,809,95.83333333333334,118,141,28.368794326241137,871,71.63120567375887,55,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_18,13,18
6,36,670,137,14,79,13,372,20,450,82,206,712,94.10112359550563,218,5.056179775280898,655,0.8426966292134831,642,706,94.90084985835693,231,5.099150141643059,695,392,94.89795918367348,281,5.1020408163265305,645,151,9.271523178807946,649,90.72847682119205,277,92,14.130434782608695,672,85.86956521739131,254,288,28.47222222222222,870,71.52777777777779,56,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,8_80,8,80
9,12,558,141,3,156,4,454,3,509,92,230,579,96.37305699481865,123,2.072538860103627,845,1.5544041450777202,464,570,97.89473684210527,74,2.1052631578947367,852,457,99.34354485776805,24,0.6564551422319475,901,144,2.083333333333333,843,97.91666666666666,83,160,2.5,844,97.5,81,322,28.57142857142857,869,71.42857142857143,57,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,13_5,13,5
9,47,756,112,23,77,16,399,13,329,73,179,812,93.10344827586206,245,5.788177339901478,625,1.1083743842364533,566,803,94.14694894146949,252,5.85305105853051,674,412,96.84466019417476,225,3.1553398058252426,701,135,17.037037037037038,602,82.96296296296296,324,93,17.20430107526882,652,82.79569892473118,274,252,28.968253968253972,868,71.03174603174604,58,Type 1,Slow,Hybrid,Slow,Slow,Slow,Hybrid,Type 1,8_166,8,166
3,18,482,257,6,172,4,438,10,855,102,250,503,95.82504970178927,149,3.5785288270377733,736,0.5964214711729622,729,500,96.39999999999999,159,3.5999999999999996,767,448,97.76785714285714,170,2.232142857142857,756,263,2.2813688212927756,832,97.71863117870723,94,176,2.272727272727273,854,97.72727272727273,72,352,28.97727272727273,867,71.02272727272727,59,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,9_164,9,164
2,24,563,209,8,147,1,357,5,497,86,210,589,95.58573853989813,158,4.074702886247878,704,0.3395585738539898,818,587,95.9114139693356,189,4.088586030664395,737,362,98.61878453038673,107,1.3812154696132597,819,217,3.686635944700461,769,96.31336405529954,157,148,0.6756756756756757,915,99.32432432432432,11,296,29.054054054054053,866,70.94594594594594,60,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,7_1,7,1
9,34,840,121,12,113,66,657,19,161,41,100,883,95.13023782559456,175,3.8505096262740657,717,1.0192525481313703,593,874,96.10983981693364,179,3.8901601830663615,746,676,97.18934911242604,205,2.8106508875739644,721,133,9.022556390977442,652,90.97744360902256,274,179,36.87150837988827,598,63.128491620111724,328,141,29.078014184397162,865,70.92198581560284,61,Type 1,Slow,Slow,Slow,Hybrid,Slow,Hybrid,Type 1,1_10,1,10
3,5,396,227,5,228,5,402,6,849,37,90,404,98.01980198019803,40,1.2376237623762376,890,0.7425742574257426,667,401,98.75311720698254,33,1.2468827930174564,893,408,98.52941176470588,119,1.4705882352941175,808,232,2.1551724137931036,840,97.84482758620689,86,233,2.1459227467811157,860,97.85407725321889,66,127,29.133858267716533,864,70.86614173228347,62,Type 1,Slow,Slow,Slow,Slow,Slow,Slow,Type 1,2_5,2,5
